repo_name	autores	prs_merged	prs_abiertos
NVIDIA/cudnn-frontend	16	34	35
mattermost/mattermost	16	25	42
triton-lang/triton-ascend	16	28	46
elizaOS/eliza	16	119	162
google-deepmind/formal-conjectures	16	41	98
keiyoushi/extensions-source	16	35	35
sugarlabs/musicblocks	16	28	53
LiuXiYing/DataStructure	16	17	20
quarkusio/quarkus	15	22	38
CleverRaven/Cataclysm-DDA	15	23	28
milind-soni/OpenMausBot	15	61	95
temporalio/temporal	15	26	33
cilium/cilium	15	19	18
twentyhq/twenty	15	42	108
NVIDIA/OpenShell	15	25	28
bevyengine/bevy	15	17	22
NVIDIA/NemoClaw	15	96	106
NethermindEth/nethermind	15	39	56
CherryHQ/cherry-studio	15	46	105
bioconda/bioconda-recipes	15	64	98
swiftlang/llvm-project	15	21	28
stdlib-js/stdlib	15	57	53
ProjectOmu/OmuStation	15	21	26
Azure/ARO-HCP	15	27	23
microsoft/onnxruntime	15	24	28
web-platform-tests/wpt	15	18	19
facebook/astryx	15	45	62
OneKeyHQ/app-monorepo	15	45	49
laravel/framework	15	19	33
opf/openproject	15	21	25
Lilly-Protocol/lily-sdk	15	41	18
project-chip/connectedhomeip	15	22	24
BlueMoon-Labs/BlueMoon-Station	15	21	14
open-edge-platform/edge-ai-suites	15	28	27
NVIDIA/nvcf	15	51	41
torch-spyre/torch-spyre	14	22	29
apache/kafka	14	15	28
kubernetes/website	14	24	22
oxcaml/oxcaml	14	18	23
duckduckgo/apple-browsers	14	15	21
stackrox/stackrox	14	23	24
zeroclaw-labs/zeroclaw	14	40	38
objectstack-ai/objectui	14	129	139
woocommerce/woocommerce	14	27	63
isaac-sim/IsaacLab	14	46	51
Azure/Azure-Sentinel	14	17	12
wazuh/wazuh	14	24	29
ocaml/opam-repository	14	19	18
nammayatri/nammayatri	14	16	18
TencentBlueKing/bk-monitor	14	22	24
youtube/cobalt	14	30	45
MillenniumDawn/Millennium-Dawn	14	87	85
TencentBlueKing/blueking-dbm	14	20	26
shopware/shopware	14	22	18
vellum-ai/vellum-assistant	14	107	139
apache/iceberg	14	15	30
mlflow/mlflow	14	43	51
IBM/project-ai-services	14	22	6
public-apis/public-apis	14	14	41
Open-Coding-Society/pages	14	14	13
freeCodeCamp/freeCodeCamp	14	15	37
kornia/kornia	14	32	46
kunchenguid/firstmate	14	26	154
huggingface/transformers	14	19	53
code-dot-org/code-dot-org	14	33	43
MaaEnd/MaaEnd	14	25	23
lance-format/lance	14	16	41
StarRocks/starrocks	13	27	44
repowise-dev/repowise	13	25	30
lightdash/lightdash	13	56	81
NVIDIA/infra-controller	13	14	19
frappe/frappe	13	23	29
microsoft/mcp	13	27	36
microsoft/agent-framework	13	25	34
ROCm/aiter	13	15	54
easybuilders/easybuild-easyconfigs	13	18	17
0xShug0/audio.cpp	13	22	19
anza-xyz/agave	13	18	25
trinodb/trino	13	16	29
Gecko-Academy/dev3pack-submissions	13	17	22
openobserve/openobserve	13	27	35
Lilly-Protocol/lily-backend	13	40	23
milvus-io/milvus	13	23	33
ROCm/ATOM	13	18	13
maximhq/bifrost	13	36	37
use-agent-os/agent-os	13	40	160
MaterializeInc/materialize	13	29	52
llm-d/llm-d-router	13	13	18
doldecomp/melee	13	37	41
duolahypercho/codex-router	13	27	33
msys2/MINGW-packages	13	58	60
Homebrew/brew	13	40	43
dimensionalOS/dimos	13	23	39
docker-library/official-images	13	17	17
istio/istio	13	31	21
Rotwood-Vale/Ratwood-2.0	13	27	47
tetherto/qvac	13	19	50
LandSandBoat/server	13	28	34
argoproj/argo-cd	13	15	17
gke-labs/kube-agents	13	41	35
deepcoldy/botmux	13	18	16
Hebbian-Robotics/hflow	13	18	21
agegr/pi-web	13	14	17
nrfconnect/sdk-nrf	13	27	29
openRuyi-Project/openRuyi	13	16	6
space-wizards/space-station-14	12	25	33
envoyproxy/envoy	12	27	45
redhat-openshift-ecosystem/certified-operators	12	12	12
langgenius/dify-plugins	12	15	16
KittyCAD/modeling-app	12	42	37
ramensoftware/windhawk-mods	12	16	24
BuilderIO/agent-native	12	96	107
tldr-pages/tldr	12	29	45
ioBroker/ioBroker.repositories	12	15	21
semantica-agi/semantica	12	16	18
CodeWithCJ/SparkyFitness	12	20	15
open-gsd/gsd-core	12	54	66
Lilly-Protocol/lily-contracts	12	36	20
apache/seatunnel	12	23	28
stablyai/orca	12	280	465
termux/termux-packages	12	17	24
looplj/axonhub	12	19	16
Azure/azure-sdk-for-python	12	15	15
cloudflare/workerd	12	21	29
redhat-appstudio/infra-deployments	12	17	14
Azure/azure-dev	12	19	19
nextcloud/server	12	17	29
growthbook/growthbook	12	18	23
apache/datafusion-comet	12	32	35
frappe/erpnext	12	23	25
terrapkg/packages	12	159	157
The-PR-Agent/pr-agent	12	26	44
web-infra-dev/rspack	12	23	30
Cyrax321/CONTINUUM	12	59	51
ryanbr/noop	12	64	55
Effect-TS/effect	12	63	65
Nano-Collective/nanocoder	12	20	18
SupaeroDataScience/ctf2026	12	12	10
firedancer-io/firedancer	12	32	43
NVIDIA/cccl	12	20	37
mxsm/rocketmq-rust	12	70	70
jundot/omlx	12	18	38
armbian/build	12	17	17
AlejandroDiBattista/tup26-p4	12	12	20
JuliaPackaging/Yggdrasil	12	23	20
CUBRID/cubrid	12	19	16
verilator/verilator	12	16	18
meshery/meshery	12	12	30
SemiAnalysisAI/InferenceX	12	40	71
Lilly-Protocol/lily-frontend	11	46	22
multica-ai/multica	11	30	50
comet-ml/opik	11	13	28
azerothcore/azerothcore-wotlk	11	18	30
Pumpkin-MC/Pumpkin	11	17	40
apache/nuttx	11	13	16
flutter/packages	11	14	24
astral-sh/ruff	11	27	46
abhisheknaiidu/awesome-github-profile-readme	11	11	0
LunarClient/ServerMappings	11	11	17
idaholab/moose	11	11	10
SlopDotCash/asi	11	67	25
TencentBlueKing/bk-lite	11	50	38
superset-sh/superset	11	64	71
UKGovernmentBEIS/inspect_ai	11	18	27
microsoft/playwright	11	18	26
hashgraph-online/awesome-ai-plugins	11	11	30
huangruiteng/loopx	11	85	119
kubevirt/kubevirt	11	11	11
we-promise/sure	11	24	31
sipyourdrink-ltd/bernstein	11	38	61
matrixorigin/matrixone	11	64	82
thedotmack/claude-mem	11	47	41
dotCMS/core	11	17	15
ente/ente	11	24	34
hw-native-sys/pypto-lib	11	17	13
syntara-orchestration/syntara	11	15	12
kdlbs/kandev	11	74	68
sktime/sktime	11	21	30
open-edge-platform/edge-ai-libraries	11	16	21
NVIDIA-NeMo/Megatron-Bridge	11	21	25
LodyAI/Lody	11	27	48
langfuse/langfuse	11	35	56
ROCm/TheRock	11	14	32
deepspeedai/DeepSpeed	11	13	27
mvanhorn/printing-press-library	11	17	18
mealie-recipes/mealie	11	17	23
masslight/ottehr	11	13	17
getsentry/sentry-docs	11	15	12
omacom/omarchy-pkgs	11	18	33
gradle/gradle	11	12	18
vercel/next.js	11	20	55
PostHog/posthog-js	11	20	21
ImranR98/Obtainium	11	13	9
pollinations/pollinations	11	54	67
newrelic/docs-website	11	12	14
goatcorp/DalamudPluginsD17	11	13	17
googleapis/google-cloud-java	11	19	13
marin-community/marin	11	24	28
Dominic789654/awesome-deepseek-harness	11	28	26
DSA-Batch-2025-26-CSE-Sec-A/DSA-Batch-2025-26-CSE-Sec-A	11	16	14
codedex-io/github-chapter-2-contributions	11	11	3
corsairdev/corsair	11	12	23
umontreal-diro/IFT3913	11	11	15
intakhab1/SPA613M	11	11	15
JabRef/jabref	11	39	32
triton-lang/triton	11	18	41
mamedev/mame	11	15	26
rustfs/rustfs	11	118	131
opensandbox-group/OpenSandbox	11	11	26
Card-Forge/forge	11	16	21
cnpem/TRAD2026	11	12	8
MCPJam/inspector	10	64	59
thegoodparty/omni	10	59	55
pascalorg/editor	10	21	18
DataDog/dd-trace-java	10	17	20
osac-project/osac	10	21	24
openfrontio/OpenFrontIO	10	37	44
Azure/AgentBaker	10	16	22
KarpelesLab/teamclaude	10	21	22
emmabostian/developer-portfolios	10	10	9
kubeflow/pipelines	10	14	10
glance-led-dev/glance-dev-network	10	16	33
ClanGenOfficial/clangen	10	15	15
temporalio/documentation	10	13	10
projectcalico/calico	10	26	33
NVIDIA-NeMo/Automodel	10	20	24
acts-project/acts	10	11	10
NVIDIA/Model-Optimizer	10	15	37
agno-agi/agno	10	15	30
